judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
llama_3_1_8b,minimal,chatgpt,0.7063492063492064,0.7936507936507936,-0.08730158730158721,0.7777777777777778,0.40740740740740744,0.9044943820224719,0.805,0.8518518518518519,161,17,35,39,0.3269230769230769,0.195,0.003952569169960474,0.9960474308300395,1074.7103174603174,382.0,2186.899999999988,0.0
llama_3_1_8b,minimal,fid,0.711864406779661,0.75,-0.03813559322033899,0.7923728813559322,0.4721442428392103,0.8809523809523809,0.8361581920903954,0.8579710144927536,148,20,39,29,0.3389830508474576,0.1638418079096045,0.008403361344537815,0.9915966386554622,1106.915254237288,386.5,3528.5,0.0
llama_3_1_8b,minimal,gpt35,0.71484375,0.73046875,-0.015625,0.8125,0.5322421012561858,0.8797814207650273,0.8609625668449198,0.8702702702702703,161,22,47,26,0.3188405797101449,0.13903743315508021,0.007751937984496124,0.9922480620155039,695.08203125,381.0,739.5,0.0
llama_3_1_8b,minimal,gpt4,0.8055555555555556,0.8564814814814815,-0.05092592592592593,0.8472222222222222,0.45602319990842144,0.9367816091954023,0.8810810810810811,0.9080779944289693,163,11,20,22,0.3548387096774194,0.11891891891891893,0.0,1.0,803.5694444444445,380.5,1182.5,0.0
llama_3_1_8b,minimal,newbing,0.782051282051282,0.8290598290598291,-0.047008547008547064,0.8247863247863247,0.4406972338006818,0.9180327868852459,0.865979381443299,0.8912466843501327,168,15,25,26,0.375,0.13402061855670103,0.00425531914893617,0.9957446808510638,945.8076923076923,377.0,1860.9499999999996,0.0
qwen_3_235b,minimal,chatgpt,0.7707509881422925,0.7905138339920948,-0.01976284584980237,0.8932806324110671,0.6884023263770096,0.9435897435897436,0.92,0.9316455696202531,184,11,42,16,0.20754716981132076,0.08,0.0,1.0,15757.810276679842,695.0,60100.19999999999,0.0
qwen_3_235b,minimal,fid,0.7100840336134454,0.7478991596638656,-0.037815126050420145,0.9201680672268907,0.7979581350669078,0.9704142011834319,0.9213483146067416,0.9452449567723343,164,5,55,14,0.08333333333333333,0.07865168539325842,0.0,1.0,16049.617647058823,630.5,61555.24999999998,0.0
qwen_3_235b,minimal,gpt35,0.7286821705426356,0.7286821705426356,0.0,0.9147286821705426,0.7843465045592704,0.9414893617021277,0.9414893617021277,0.9414893617021277,177,11,59,11,0.15714285714285714,0.05851063829787234,0.0,1.0,17923.77519379845,720.5,67587.14999999998,0.0
qwen_3_235b,minimal,gpt4,0.8611111111111112,0.8564814814814815,0.00462962962962965,0.9305555555555556,0.7136670938093768,0.956989247311828,0.9621621621621622,0.9595687331536389,178,8,23,7,0.25806451612903225,0.03783783783783784,0.0,1.0,17000.74537037037,860.5,60195.5,0.0
qwen_3_235b,minimal,newbing,0.8042553191489362,0.8297872340425532,-0.025531914893616947,0.8893617021276595,0.6299660852713178,0.9470899470899471,0.9179487179487179,0.9322916666666666,179,10,30,16,0.25,0.08205128205128205,0.0,1.0,18118.297872340427,992.0,61366.1,0.0
