judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
claude_opus_4_7,minimal,1,0.6565420560747663,0.6752336448598131,-0.01869158878504673,0.9439252336448598,0.8739786529260214,0.9715302491103203,0.9446366782006921,0.9578947368421051,273,8,131,16,0.05755395683453238,0.05536332179930796,0.0,1.0,1882.1985981308412,1484.5,3344.95,0.874635
claude_opus_4_7,minimal,2,0.7428571428571429,0.8,-0.05714285714285716,0.9142857142857143,0.7569444444444444,0.9807692307692307,0.9107142857142857,0.9444444444444444,153,3,39,15,0.07142857142857142,0.08928571428571429,0.0,1.0,2004.9714285714285,1556.5,4256.399999999999,0.43071499999999996
claude_opus_4_7,minimal,3,0.7604166666666666,0.8020833333333334,-0.04166666666666674,0.9583333333333334,0.8780952380952382,1.0,0.948051948051948,0.9733333333333333,73,0,19,4,0.0,0.05194805194805195,0.0,1.0,2227.2604166666665,1486.5,6965.0,0.20046999999999998
claude_opus_4_7,minimal,4,0.8163265306122449,0.8571428571428571,-0.04081632653061218,0.8775510204081632,0.5518292682926826,0.95,0.9047619047619048,0.9268292682926829,38,2,5,4,0.2857142857142857,0.09523809523809523,0.0,1.0,2134.1428571428573,1600.0,5376.1999999999925,0.11133
claude_opus_4_7,minimal,5,0.68,0.76,-0.07999999999999996,0.92,0.8015873015873017,1.0,0.8947368421052632,0.9444444444444444,17,0,6,2,0.0,0.10526315789473684,0.0,1.0,2719.36,1923.0,7315.799999999993,0.062415
claude_opus_4_7,minimal,6,0.7878787878787878,0.8181818181818182,-0.030303030303030387,0.9090909090909091,0.7126269956458635,0.9615384615384616,0.9259259259259259,0.9433962264150944,25,1,5,2,0.16666666666666666,0.07407407407407407,0.0,1.0,2633.0,1811.0,6136.7999999999965,0.08169
claude_opus_4_7,minimal,7,0.8620689655172413,0.896551724137931,-0.034482758620689724,0.9655172413793104,0.8375350140056024,1.0,0.9615384615384616,0.9803921568627451,25,0,3,1,0.0,0.038461538461538464,0.0,1.0,3081.1724137931033,1711.0,9954.399999999992,0.07059
claude_opus_4_7,minimal,8,0.8387096774193549,0.9032258064516129,-0.06451612903225801,0.9354838709677419,0.7129629629629628,1.0,0.9285714285714286,0.962962962962963,26,0,3,2,0.0,0.07142857142857142,0.0,1.0,1791.5483870967741,1541.0,3216.5,0.075605
claude_opus_4_7,minimal,9,0.85,0.85,0.0,1.0,1.0,1.0,1.0,1.0,17,0,3,0,0.0,0.0,0.0,1.0,2173.5,1765.5,4357.4000000000015,0.056760000000000005
claude_opus_4_7,minimal,10,0.9,0.9,0.0,1.0,1.0,1.0,1.0,1.0,18,0,2,0,0.0,0.0,0.0,1.0,2189.8,1604.0,4923.750000000002,0.061485
claude_opus_4_7,minimal,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,6088.181818181818,4346.0,16806.0,0.031845000000000005
claude_opus_4_7,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,2394.230769230769,1361.0,7495.999999999997,0.03557
claude_opus_4_7,minimal,13,0.9285714285714286,0.9285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,13,0,1,0,0.0,0.0,0.0,1.0,1854.142857142857,1503.5,3184.35,0.031375
